,Date,Open,High,Low,Close,Volume,Market Cap
0,"Jul 23, 2017",555.89,578.97,411.78,413.06,85013.0,0.0
1,"Jul 24, 2017",412.58,578.89,409.21,440.7,190952.0,0.0
2,"Jul 25, 2017",441.35,541.66,338.09,406.9,524908.0,0.0
3,"Jul 26, 2017",407.08,486.16,321.79,365.82,1784640.0,0.0
4,"Jul 27, 2017",417.1,460.97,367.78,385.48,533207.0,0.0
5,"Jul 28, 2017",386.65,465.18,217.06,406.05,1230160.0,0.0
6,"Jul 29, 2017",410.57,423.73,323.73,384.77,737815.0,0.0
7,"Jul 30, 2017",385.14,385.14,316.25,345.66,606695.0,0.0
8,"Jul 31, 2017",346.36,347.83,266.19,294.46,1075960.0,0.0
9,"Aug 01, 2017",294.6,426.11,210.38,380.01,65988800.0,6263348700.0
10,"Aug 02, 2017",382.38,756.93,309.33,452.66,416207000.0,7460772000.0
11,"Aug 03, 2017",448.49,519.28,364.05,364.05,161518000.0,6000453000.0
12,"Aug 04, 2017",362.18,386.93,233.05,233.05,185038000.0,3841262300.0
13,"Aug 05, 2017",231.11,273.04,200.98,213.15,144043000.0,3513302000.0
14,"Aug 06, 2017",212.18,223.7,203.45,220.66,107606000.0,3637255000.0
15,"Aug 07, 2017",223.76,373.87,223.76,319.69,346546000.0,5270009300.0
16,"Aug 08, 2017",321.35,386.29,309.61,345.49,274880000.0,5695400000.0
17,"Aug 09, 2017",345.28,349.32,298.61,303.89,165032000.0,5010027000.0
18,"Aug 10, 2017",305.21,311.68,274.68,275.95,136637000.0,4549782000.0
19,"Aug 11, 2017",275.88,351.16,275.02,328.24,233971000.0,5412173300.0
20,"Aug 12, 2017",327.82,341.85,313.7,317.09,126007000.0,5228596700.0
21,"Aug 13, 2017",316.29,317.47,298.05,298.05,120722000.0,4914961000.0
22,"Aug 14, 2017",296.1,327.39,293.5,297.68,174968000.0,4909116000.0
23,"Aug 15, 2017",298.18,306.52,292.88,297.86,133924000.0,4912604000.0
24,"Aug 16, 2017",297.97,307.62,290.21,300.21,106436000.0,4951611400.0
25,"Aug 17, 2017",301.02,460.53,293.1,460.53,744605000.0,7596275000.0
26,"Aug 18, 2017",458.67,764.07,458.67,690.24,3087490000.0,11385819000.0
27,"Aug 19, 2017",697.04,1091.97,625.16,754.56,3196230000.0,12448000000.0
28,"Aug 20, 2017",772.42,858.96,683.94,712.87,1494020000.0,11764311000.0
29,"Aug 21, 2017",723.7,756.59,573.47,599.64,1123400000.0,9901428000.0
30,"Aug 22, 2017",596.19,734.88,570.27,690.88,1393260000.0,11415546000.0
31,"Aug 23, 2017",690.96,715.67,651.32,669.4,501983000.0,11060764000.0
32,"Aug 24, 2017",670.03,697.32,617.31,628.11,407177000.0,10382948000.0
33,"Aug 25, 2017",627.06,665.41,624.3,641.05,348632000.0,10602409000.0
34,"Aug 26, 2017",641.88,646.93,622.36,625.32,193414000.0,10347468000.0
35,"Aug 27, 2017",625.89,654.87,589.64,620.9,402718000.0,10274649000.0
36,"Aug 28, 2017",619.7,626.88,595.52,596.18,216273000.0,9866886000.0
37,"Aug 29, 2017",596.13,599.3,528.32,552.93,370017000.0,9152069000.0
38,"Aug 30, 2017",549.32,604.69,535.92,575.21,443856000.0,9521474000.0
39,"Aug 31, 2017",576.25,603.69,572.14,588.17,298144000.0,9736727000.0
40,"Sep 01, 2017",588.4,645.52,586.73,622.17,393839000.0,10300396000.0
41,"Sep 02, 2017",621.96,642.05,560.58,575.9,350478000.0,9535390000.0
42,"Sep 03, 2017",578.27,617.41,563.59,607.43,344862000.0,10058460000.0
43,"Sep 04, 2017",608.26,608.26,500.76,517.24,328957000.0,8565835300.0
44,"Sep 05, 2017",514.9,550.95,458.78,541.71,338978000.0,8971830000.0
45,"Sep 06, 2017",541.28,642.69,539.96,638.18,693240000.0,10570581000.0
46,"Sep 07, 2017",636.85,707.98,603.5,652.85,1082380000.0,10815367000.0
47,"Sep 08, 2017",654.37,687.3,557.51,583.1,809763000.0,9661132000.0
48,"Sep 09, 2017",584.73,586.18,539.15,547.47,234578000.0,9071937000.0
49,"Sep 10, 2017",546.47,546.75,484.09,537.07,289508000.0,8900563000.0
50,"Sep 11, 2017",537.19,556.25,515.67,537.81,274712000.0,8914019000.0
51,"Sep 12, 2017",539.03,559.22,505.01,510.41,273825000.0,8461057500.0
52,"Sep 13, 2017",509.47,519.2,471.22,503.61,340344000.0,8349412000.0
53,"Sep 14, 2017",504.22,510.47,367.04,367.04,257431000.0,6086136300.0
54,"Sep 15, 2017",369.49,448.39,301.69,424.02,707231000.0,7031847400.0
55,"Sep 16, 2017",424.49,450.98,388.2,440.22,313583000.0,7301428000.0
56,"Sep 17, 2017",438.9,438.9,384.06,419.86,221828000.0,6964751400.0
57,"Sep 18, 2017",422.09,479.69,422.09,479.32,458550000.0,7953091000.0
58,"Sep 19, 2017",480.64,550.41,450.05,527.88,802321000.0,8760547000.0
59,"Sep 20, 2017",526.74,527.72,471.09,476.05,669264000.0,7901970400.0
60,"Sep 21, 2017",475.83,480.01,413.75,416.26,316731000.0,6909738000.0
61,"Sep 22, 2017",417.92,435.45,402.77,415.09,241905000.0,6892432400.0
62,"Sep 23, 2017",415.31,432.96,407.45,428.5,189127000.0,7116985000.0
63,"Sep 24, 2017",428.8,433.04,419.25,421.03,114527000.0,6994250000.0
64,"Sep 25, 2017",419.65,450.13,419.65,445.8,302272000.0,7407290400.0
65,"Sep 26, 2017",445.36,458.25,441.83,441.83,165303000.0,7343076400.0
66,"Sep 27, 2017",441.86,460.0,439.41,457.31,197885000.0,7601938000.0
67,"Sep 28, 2017",456.71,465.2,433.5,447.81,300421000.0,7444349400.0
68,"Sep 29, 2017",447.66,447.92,426.99,436.77,148725000.0,7261040600.0
69,"Sep 30, 2017",436.64,445.62,432.53,432.63,150565000.0,7195230000.0
70,"Oct 01, 2017",433.38,436.94,415.15,415.15,164290000.0,6909650000.0
71,"Oct 02, 2017",415.87,430.86,411.84,421.19,219590000.0,7012389000.0
72,"Oct 03, 2017",421.79,421.79,395.74,404.18,130247000.0,6729274400.0
73,"Oct 04, 2017",404.2,404.45,354.55,358.45,251584000.0,5971673000.0
74,"Oct 05, 2017",358.42,371.19,348.45,355.75,268341000.0,5931789000.0
75,"Oct 06, 2017",355.43,371.28,354.96,363.01,182031000.0,6053063000.0
76,"Oct 07, 2017",363.6,364.88,356.07,360.78,91004000.0,6016482000.0
77,"Oct 08, 2017",360.09,362.46,337.0,342.21,203754000.0,5707258000.0
78,"Oct 09, 2017",342.76,342.76,289.04,314.16,288075000.0,5239797000.0
79,"Oct 10, 2017",313.22,352.02,311.7,321.59,367809000.0,5364153300.0
80,"Oct 11, 2017",320.2,321.27,312.13,314.9,131577000.0,5252890600.0
81,"Oct 12, 2017",315.47,330.13,310.71,313.21,262066000.0,5226977000.0
82,"Oct 13, 2017",314.15,323.08,304.38,321.46,288210000.0,5368370700.0
83,"Oct 14, 2017",321.54,327.42,317.35,321.96,164137000.0,5377048600.0
84,"Oct 15, 2017",322.42,323.59,307.68,314.95,133385000.0,5260122600.0
85,"Oct 16, 2017",315.26,318.02,310.52,313.64,117797000.0,5238563300.0
86,"Oct 17, 2017",313.7,394.96,309.64,371.73,1008160000.0,6208911400.0
87,"Oct 18, 2017",373.65,376.18,313.77,339.17,477184000.0,5665390600.0
88,"Oct 19, 2017",339.27,339.27,326.27,330.81,195578000.0,5526222000.0
89,"Oct 20, 2017",330.9,332.98,323.08,327.44,160204000.0,5470545400.0
90,"Oct 21, 2017",326.75,328.45,317.46,323.36,129938000.0,5402588700.0
91,"Oct 22, 2017",323.5,355.52,323.5,331.66,355546000.0,5541354500.0
92,"Oct 23, 2017",330.67,332.28,309.87,315.6,191558000.0,5273363500.0
93,"Oct 24, 2017",315.9,340.45,311.48,326.89,267442000.0,5462740500.0
94,"Oct 25, 2017",326.59,334.38,320.38,332.13,151935000.0,5551042600.0
95,"Oct 26, 2017",332.11,350.94,331.21,338.2,234967000.0,5654242300.0
96,"Oct 27, 2017",338.3,372.81,338.24,367.57,501989000.0,6150540000.0
97,"Oct 28, 2017",369.54,425.45,369.06,423.35,781037000.0,7090441000.0
98,"Oct 29, 2017",420.47,526.12,408.4,451.92,2002440000.0,7569654000.0
99,"Oct 30, 2017",458.45,478.42,417.62,448.23,796409000.0,7508138500.0
100,"Oct 31, 2017",449.37,454.07,431.76,439.05,343799000.0,7354889700.0
101,"Nov 01, 2017",438.3,538.26,437.91,531.83,1152230000.0,8909562000.0
102,"Nov 02, 2017",527.68,610.39,514.52,587.22,1632060000.0,9838156000.0
103,"Nov 03, 2017",587.32,684.53,577.86,625.32,1682210000.0,10479281000.0
104,"Nov 04, 2017",635.35,642.05,571.12,620.45,1161370000.0,10399844000.0
105,"Nov 05, 2017",619.91,635.72,579.13,630.7,816028000.0,10573198000.0
106,"Nov 06, 2017",630.31,657.34,602.65,602.65,794105000.0,10104569000.0
107,"Nov 07, 2017",602.68,626.21,602.45,616.3,375367000.0,10335114000.0
108,"Nov 08, 2017",615.24,646.38,565.6,622.46,837646000.0,10440111000.0
109,"Nov 09, 2017",622.31,670.14,619.26,654.3,710387000.0,10975434000.0
110,"Nov 10, 2017",651.78,1034.77,651.78,1007.42,5195420000.0,16904381000.0
111,"Nov 11, 2017",1001.64,1403.66,910.72,1340.45,5139770000.0,22505050000.0
112,"Nov 12, 2017",1346.97,2477.65,1215.58,1388.86,8371320000.0,23332952000.0
113,"Nov 13, 2017",1381.82,1501.16,1043.0,1353.99,4850570000.0,22748150000.0
114,"Nov 14, 2017",1346.73,1390.21,1211.39,1273.53,1697910000.0,21398536000.0
115,"Nov 15, 2017",1269.79,1326.39,1191.98,1212.4,1321780000.0,20373959000.0
116,"Nov 16, 2017",1202.17,1210.36,876.57,900.78,2034690000.0,15138148000.0
117,"Nov 17, 2017",909.16,1217.42,863.98,1185.48,3203430000.0,19925103000.0
118,"Nov 18, 2017",1197.43,1388.11,1197.43,1254.53,3053770000.0,21088258000.0
119,"Nov 19, 2017",1260.95,1262.34,1144.08,1172.05,1285910000.0,19703757000.0
120,"Nov 20, 2017",1172.43,1236.01,1167.28,1236.01,800053000.0,20781175000.0
121,"Nov 21, 2017",1220.78,1224.15,1140.88,1176.97,772859000.0,19790795000.0
122,"Nov 22, 2017",1175.06,1335.25,1171.6,1303.31,1517620000.0,21917585000.0
123,"Nov 23, 2017",1302.23,1683.81,1299.95,1683.81,4112090000.0,28319832000.0
124,"Nov 24, 2017",1651.86,1782.83,1575.76,1648.51,3128960000.0,27728845000.0
125,"Nov 25, 2017",1634.0,1656.55,1535.77,1571.27,1560040000.0,26432512000.0
126,"Nov 26, 2017",1571.39,1758.61,1563.35,1735.66,1593050000.0,29201005000.0
127,"Nov 27, 2017",1722.93,1742.4,1607.79,1622.57,1391460000.0,27300835000.0
128,"Nov 28, 2017",1621.17,1629.48,1543.08,1546.18,1274880000.0,26018324000.0
129,"Nov 29, 2017",1541.63,1673.23,1332.14,1359.71,2345250000.0,22882900000.0
130,"Nov 30, 2017",1380.36,1468.75,1222.1,1389.78,1211730000.0,23391283000.0
131,"Dec 01, 2017",1381.81,1482.68,1300.46,1462.68,965151000.0,24620982000.0
132,"Dec 02, 2017",1462.06,1502.37,1415.49,1434.98,574510000.0,24157153000.0
133,"Dec 03, 2017",1435.36,1649.3,1420.6,1559.93,1476740000.0,26263372000.0
134,"Dec 04, 2017",1560.16,1580.11,1498.98,1576.92,780634000.0,26552277000.0
135,"Dec 05, 2017",1580.16,1623.16,1498.0,1501.85,1032800000.0,25290985000.0
136,"Dec 06, 2017",1498.49,1530.65,1396.16,1430.1,1154620000.0,24085547000.0
137,"Dec 07, 2017",1430.71,1454.73,1323.75,1330.93,1285210000.0,22416589000.0
138,"Dec 08, 2017",1329.16,1731.32,1247.93,1464.13,2553980000.0,24663214000.0
139,"Dec 09, 2017",1464.63,1526.4,1353.9,1410.06,1059610000.0,23755016000.0
140,"Dec 10, 2017",1411.84,1411.84,1226.21,1323.07,885886000.0,22291646000.0
141,"Dec 11, 2017",1320.0,1453.49,1316.85,1423.38,922792000.0,23984345000.0
142,"Dec 12, 2017",1427.38,1638.29,1427.38,1615.03,1386250000.0,27216607000.0
143,"Dec 13, 2017",1616.99,1702.53,1497.94,1607.65,1245190000.0,27095413000.0
144,"Dec 14, 2017",1600.67,2080.41,1593.15,1966.14,2717410000.0,33141133000.0
145,"Dec 15, 2017",1974.66,1974.66,1678.06,1815.43,1457230000.0,30603860000.0
146,"Dec 16, 2017",1824.85,1890.06,1769.5,1801.88,971255000.0,30378232000.0
147,"Dec 17, 2017",1812.33,1939.93,1806.65,1862.88,1020590000.0,31410043000.0
148,"Dec 18, 2017",1869.21,2353.64,1799.12,2196.64,2538650000.0,37042463000.0
149,"Dec 19, 2017",2199.06,2918.93,2160.92,2805.89,3913340000.0,47321686000.0
150,"Dec 20, 2017",2825.03,4355.62,2825.03,3923.07,11889600000.0,66171060000.0
151,"Dec 21, 2017",3909.0,3909.0,3038.01,3267.17,3664330000.0,55113236000.0
152,"Dec 22, 2017",3324.0,3369.55,1938.36,2696.69,3877770000.0,45494170000.0
153,"Dec 23, 2017",2746.95,3479.71,2684.82,3257.08,2843310000.0,54954594000.0
154,"Dec 24, 2017",3260.55,3260.55,2573.44,2903.12,1712160000.0,48988190000.0
155,"Dec 25, 2017",2929.35,3099.62,2755.6,2954.69,1355440000.0,49863053000.0
156,"Dec 26, 2017",2947.74,3112.64,2915.8,3108.89,1544430000.0,52470910000.0
157,"Dec 27, 2017",3108.32,3108.32,2771.05,2889.52,1406450000.0,48773546000.0
158,"Dec 28, 2017",2888.64,2896.78,2481.3,2566.64,3221300000.0,43328190000.0
159,"Dec 29, 2017",2587.3,2922.41,2389.04,2779.95,2479420000.0,46933897000.0
160,"Dec 30, 2017",2791.55,2791.55,2329.47,2392.41,1257760000.0,40395784000.0
161,"Dec 31, 2017",2376.96,2627.95,2350.03,2533.01,1300820000.0,42774213000.0
162,"Jan 01, 2018",2534.82,2534.86,2389.52,2432.54,922813000.0,41081680000.0
163,"Jan 02, 2018",2434.5,2867.14,2434.5,2711.0,1831230000.0,45789807000.0
164,"Jan 03, 2018",2700.55,2958.47,2592.56,2608.69,4688840000.0,44066025000.0
165,"Jan 04, 2018",2608.87,2610.2,2359.3,2430.18,5377260000.0,41055035000.0
166,"Jan 05, 2018",2400.74,2648.32,2370.59,2584.48,2115710000.0,43666145000.0
167,"Jan 06, 2018",2583.71,2829.69,2481.36,2786.65,1669160000.0,47087243000.0
168,"Jan 07, 2018",2784.68,3071.16,2730.31,2786.88,1444780000.0,47096250000.0
169,"Jan 08, 2018",2786.6,2810.32,2275.07,2421.47,1428900000.0,40924900000.0
170,"Jan 09, 2018",2412.36,2502.87,2346.68,2391.56,1084750000.0,40423910000.0
171,"Jan 10, 2018",2390.02,2961.2,2332.48,2895.38,2578810000.0,48945566000.0
172,"Jan 11, 2018",2891.55,2976.49,2396.84,2462.61,1947950000.0,41634456000.0
173,"Jan 12, 2018",2475.9,2648.23,2413.33,2620.99,1110220000.0,44316550000.0
174,"Jan 13, 2018",2617.66,2850.27,2589.03,2685.29,1218570000.0,45408793000.0
175,"Jan 14, 2018",2687.1,2746.61,2490.04,2553.32,993310000.0,43182002000.0
176,"Jan 15, 2018",2541.58,2576.13,2328.31,2401.54,1412360000.0,40618870000.0
177,"Jan 16, 2018",2406.86,2406.86,1555.97,1772.07,1704030000.0,29975362000.0
178,"Jan 17, 2018",1767.58,1875.08,1361.02,1748.05,1457730000.0,29572178000.0
179,"Jan 18, 2018",1752.27,1893.47,1696.25,1756.75,1024060000.0,29722696000.0
180,"Jan 19, 2018",1740.17,1870.78,1723.87,1769.62,743247000.0,29943763000.0
181,"Jan 20, 2018",1784.26,2124.45,1780.45,2032.12,1116240000.0,34388780000.0
182,"Jan 21, 2018",2033.7,2033.7,1733.99,1776.64,745179000.0,30068589000.0
183,"Jan 22, 2018",1794.46,1815.42,1525.5,1621.92,681350000.0,27453024000.0
