,Date,Open,High,Low,Close,Volume,Market Cap
0,"Apr 28, 2013",135.3,135.98,132.1,134.21,0.0,1488566800.0
1,"Apr 29, 2013",134.44,147.49,134.0,144.54,0.0,1603768800.0
2,"Apr 30, 2013",144.0,146.93,134.05,139.0,0.0,1542813200.0
3,"May 01, 2013",139.0,139.89,107.72,116.99,0.0,1298954600.0
4,"May 02, 2013",116.38,125.6,92.28,105.21,0.0,1168517500.0
5,"May 03, 2013",106.25,108.13,79.1,97.75,0.0,1085995100.0
6,"May 04, 2013",98.1,115.0,92.5,112.5,0.0,1250316500.0
7,"May 05, 2013",112.9,118.8,107.14,115.91,0.0,1288693100.0
8,"May 06, 2013",115.98,124.66,106.64,112.3,0.0,1249023100.0
9,"May 07, 2013",112.25,113.44,97.7,111.5,0.0,1240593700.0
10,"May 08, 2013",109.6,115.78,109.6,113.57,0.0,1264049200.0
11,"May 09, 2013",113.2,113.46,109.26,112.67,0.0,1254535400.0
12,"May 10, 2013",112.8,122.0,111.55,117.2,0.0,1305479000.0
13,"May 11, 2013",117.7,118.68,113.01,115.24,0.0,1284207500.0
14,"May 12, 2013",115.64,117.45,113.43,115.0,0.0,1281982600.0
15,"May 13, 2013",114.82,118.7,114.5,117.98,0.0,1315710000.0
16,"May 14, 2013",117.98,119.8,110.25,111.5,0.0,1243874400.0
17,"May 15, 2013",111.4,115.81,103.5,114.22,0.0,1274623900.0
18,"May 16, 2013",114.22,118.76,112.2,118.76,0.0,1325726800.0
19,"May 17, 2013",118.21,125.3,116.57,123.01,0.0,1373723900.0
20,"May 18, 2013",123.5,125.25,122.3,123.5,0.0,1379574500.0
21,"May 19, 2013",123.21,124.5,119.57,121.99,0.0,1363204700.0
22,"May 20, 2013",122.5,123.62,120.12,122.0,0.0,1363710000.0
23,"May 21, 2013",122.02,123.0,121.21,122.88,0.0,1374013400.0
24,"May 22, 2013",122.89,124.0,122.0,123.89,0.0,1385779000.0
25,"May 23, 2013",123.8,126.93,123.1,126.7,0.0,1417769900.0
26,"May 24, 2013",126.3,133.85,125.72,133.2,0.0,1491070700.0
27,"May 25, 2013",133.1,133.22,128.9,131.98,0.0,1477958300.0
28,"May 26, 2013",131.99,136.0,130.62,133.48,0.0,1495293000.0
29,"May 27, 2013",133.5,135.46,124.7,129.74,0.0,1454029600.0
30,"May 28, 2013",129.77,130.58,125.6,129.0,0.0,1446190000.0
31,"May 29, 2013",129.0,132.59,127.66,132.3,0.0,1483734500.0
32,"May 30, 2013",132.25,132.25,127.0,128.8,0.0,1445054000.0
33,"May 31, 2013",128.8,129.9,126.4,129.0,0.0,1447870200.0
34,"Jun 01, 2013",128.82,129.78,127.2,129.3,0.0,1451916200.0
35,"Jun 02, 2013",129.3,129.4,115.05,122.29,0.0,1373837400.0
36,"Jun 03, 2013",122.5,122.5,116.0,122.22,0.0,1373708000.0
37,"Jun 04, 2013",120.74,123.84,119.1,121.42,0.0,1365337600.0
38,"Jun 05, 2013",121.4,123.47,119.9,121.65,0.0,1368486500.0
39,"Jun 06, 2013",121.9,123.1,117.25,118.0,0.0,1327960200.0
40,"Jun 07, 2013",118.97,119.0,106.42,111.5,0.0,1255258600.0
41,"Jun 08, 2013",111.0,111.42,107.3,108.3,0.0,1219717900.0
42,"Jun 09, 2013",107.89,108.99,88.5,100.0,0.0,1126642600.0
43,"Jun 10, 2013",100.44,110.1,95.0,106.35,0.0,1198639000.0
44,"Jun 11, 2013",106.35,109.6,104.0,108.9,0.0,1227874700.0
45,"Jun 12, 2013",109.0,111.79,106.73,108.15,0.0,1219969800.0
46,"Jun 13, 2013",108.78,110.3,100.53,104.0,0.0,1173637400.0
47,"Jun 14, 2013",103.95,104.7,98.0,99.98,0.0,1128709200.0
48,"Jun 15, 2013",100.0,103.7,98.0,99.99,0.0,1129245600.0
49,"Jun 16, 2013",99.8,101.6,98.95,99.51,0.0,1124306300.0
50,"Jun 17, 2013",99.9,102.21,99.0,101.7,0.0,1149418500.0
51,"Jun 18, 2013",101.95,111.11,101.03,107.4,0.0,1214216100.0
52,"Jun 19, 2013",107.05,110.22,105.75,108.25,0.0,1224193800.0
53,"Jun 20, 2013",108.25,114.3,107.5,110.15,0.0,1246105000.0
54,"Jun 21, 2013",111.29,114.99,107.68,109.5,0.0,1239214200.0
55,"Jun 22, 2013",109.5,109.96,107.51,108.3,0.0,1226110300.0
56,"Jun 23, 2013",108.2,108.8,106.23,107.6,0.0,1218626400.0
57,"Jun 24, 2013",107.9,108.33,100.98,102.74,0.0,1163935700.0
58,"Jun 25, 2013",102.09,106.47,101.01,103.95,0.0,1178086100.0
59,"Jun 26, 2013",103.33,105.49,102.79,104.0,0.0,1179105200.0
60,"Jun 27, 2013",104.0,104.0,101.1,101.44,0.0,1150468000.0
61,"Jun 28, 2013",101.74,101.74,92.33,94.65,0.0,1073887500.0
62,"Jun 29, 2013",94.66,99.99,93.0,94.99,0.0,1078198500.0
63,"Jun 30, 2013",95.0,98.12,94.22,96.61,0.0,1096957800.0
64,"Jul 01, 2013",97.51,97.66,86.3,88.05,0.0,1000065300.0
65,"Jul 02, 2013",88.05,92.3,87.51,90.13,0.0,1024082240.0
66,"Jul 03, 2013",90.4,90.98,76.98,77.53,0.0,881233100.0
67,"Jul 04, 2013",78.89,83.11,72.0,80.53,0.0,915618600.0
68,"Jul 05, 2013",79.99,80.0,65.53,68.43,0.0,778411200.0
69,"Jul 06, 2013",68.5,75.0,66.82,70.28,0.0,799741630.0
70,"Jul 07, 2013",68.75,74.56,66.62,74.56,0.0,848839000.0
71,"Jul 08, 2013",76.5,80.0,72.6,76.52,0.0,871457900.0
72,"Jul 09, 2013",76.0,78.3,72.52,76.69,0.0,873841860.0
73,"Jul 10, 2013",76.72,87.0,76.2,86.76,0.0,988957700.0
74,"Jul 11, 2013",88.0,90.28,85.08,88.98,0.0,1014650050.0
75,"Jul 12, 2013",88.98,104.0,88.17,93.59,0.0,1067634700.0
76,"Jul 13, 2013",93.99,98.25,88.06,98.13,0.0,1119796100.0
77,"Jul 14, 2013",98.7,98.7,92.86,94.69,0.0,1080917800.0
78,"Jul 15, 2013",93.61,101.9,93.11,98.4,0.0,1123659000.0
79,"Jul 16, 2013",98.89,99.86,96.14,97.45,0.0,1113217000.0
80,"Jul 17, 2013",96.71,99.97,96.18,98.5,0.0,1125658000.0
81,"Jul 18, 2013",98.5,98.8,86.2,90.58,0.0,1035512800.0
82,"Jul 19, 2013",90.07,95.2,87.8,92.17,0.0,1054083800.0
83,"Jul 20, 2013",92.0,93.1,89.27,89.39,0.0,1022707650.0
84,"Jul 21, 2013",89.82,91.95,88.0,90.76,0.0,1038799000.0
85,"Jul 22, 2013",92.0,92.0,90.08,91.61,0.0,1048939100.0
86,"Jul 23, 2013",91.6,96.82,91.6,95.56,0.0,1094484100.0
87,"Jul 24, 2013",95.56,95.99,93.0,94.51,0.0,1082848400.0
88,"Jul 25, 2013",94.5,97.33,93.87,96.9,0.0,1110587900.0
89,"Jul 26, 2013",96.95,97.47,96.0,96.02,0.0,1100902800.0
90,"Jul 27, 2013",96.02,97.0,93.0,94.12,0.0,1079491700.0
