,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 07, 2015",2.83,3.54,2.52,2.77,164329.0,166610560.0
1,"Aug 08, 2015",2.79,2.8,0.714725,0.753325,674188.0,45486896.0
2,"Aug 09, 2015",0.706136,0.87981,0.629191,0.701897,532170.0,42399572.0
3,"Aug 10, 2015",0.713989,0.729854,0.636546,0.708448,405283.0,42818364.0
4,"Aug 11, 2015",0.708087,1.13,0.663235,1.07,1463100.0,64569290.0
5,"Aug 12, 2015",1.06,1.29,0.883608,1.22,2150620.0,73645010.0
6,"Aug 13, 2015",1.22,1.97,1.17,1.83,4068680.0,110607190.0
7,"Aug 14, 2015",1.81,2.26,1.75,1.83,4637030.0,110672320.0
8,"Aug 15, 2015",1.8,1.88,1.57,1.69,2554360.0,102303610.0
9,"Aug 16, 2015",1.68,1.7,1.09,1.57,3550790.0,94901010.0
10,"Aug 17, 2015",1.58,1.58,1.19,1.2,1942830.0,87295370.0
11,"Aug 18, 2015",1.22,1.33,1.09,1.09,1485680.0,78868420.0
12,"Aug 19, 2015",1.17,1.32,1.17,1.26,1486240.0,91366390.0
13,"Aug 20, 2015",1.25,1.53,1.25,1.46,2843760.0,106351420.0
14,"Aug 21, 2015",1.48,1.56,1.35,1.4,2020970.0,101331860.0
15,"Aug 22, 2015",1.4,1.48,1.35,1.38,948310.0,100201820.0
16,"Aug 23, 2015",1.38,1.41,1.3,1.35,1589300.0,98300350.0
17,"Aug 24, 2015",1.35,1.36,1.23,1.23,924920.0,89515256.0
18,"Aug 25, 2015",1.23,1.24,1.13,1.14,1307180.0,82922630.0
19,"Aug 26, 2015",1.13,1.2,1.06,1.16,1056750.0,84390930.0
20,"Aug 27, 2015",1.17,1.19,1.14,1.15,686662.0,83524584.0
21,"Aug 28, 2015",1.15,1.21,1.12,1.19,721872.0,86731080.0
22,"Aug 29, 2015",1.19,1.21,1.15,1.18,375377.0,86113896.0
23,"Aug 30, 2015",1.18,1.37,1.17,1.32,1337650.0,96097350.0
24,"Aug 31, 2015",1.32,1.4,1.2,1.36,1447180.0,98963976.0
25,"Sep 01, 2015",1.35,1.39,1.34,1.35,778862.0,98507500.0
26,"Sep 02, 2015",1.35,1.35,1.26,1.29,883769.0,94389544.0
27,"Sep 03, 2015",1.3,1.31,1.21,1.26,702991.0,92234140.0
28,"Sep 04, 2015",1.26,1.3,1.24,1.27,474391.0,92953704.0
29,"Sep 05, 2015",1.28,1.34,1.27,1.34,448453.0,97683880.0
30,"Sep 06, 2015",1.34,1.37,1.29,1.3,491968.0,94580160.0
31,"Sep 07, 2015",1.3,1.31,1.24,1.25,489014.0,91020740.0
32,"Sep 08, 2015",1.25,1.28,1.23,1.24,427892.0,90743240.0
33,"Sep 09, 2015",1.24,1.26,1.2,1.21,366748.0,88150130.0
34,"Sep 10, 2015",1.21,1.22,1.14,1.17,662782.0,85202740.0
35,"Sep 11, 2015",1.16,1.17,0.940675,0.982978,1942600.0,71868264.0
36,"Sep 12, 2015",0.987228,1.11,0.96978,1.04,772430.0,75971270.0
37,"Sep 13, 2015",1.04,1.04,0.902832,0.936003,644138.0,68480584.0
38,"Sep 14, 2015",0.940566,0.949387,0.87176,0.875622,741085.0,64084136.0
39,"Sep 15, 2015",0.875189,1.05,0.875189,0.94441,703390.0,69141410.0
40,"Sep 16, 2015",0.941977,0.952698,0.901639,0.907175,615593.0,66437870.0
41,"Sep 17, 2015",0.906865,0.909204,0.831132,0.874231,897940.0,64046216.0
42,"Sep 18, 2015",0.874574,0.888102,0.833908,0.853685,484622.0,62561884.0
43,"Sep 19, 2015",0.849603,0.911883,0.833784,0.882391,386988.0,64687990.0
44,"Sep 20, 2015",0.881191,0.947741,0.873205,0.938445,508314.0,68822184.0
45,"Sep 21, 2015",0.941496,0.957326,0.878301,0.919047,424039.0,67422910.0
46,"Sep 22, 2015",0.919337,0.919337,0.865225,0.901796,487914.0,66180150.0
47,"Sep 23, 2015",0.90356,0.90891,0.885136,0.893406,200541.0,65587500.0
48,"Sep 24, 2015",0.896796,0.908571,0.79346,0.81361,842505.0,59749890.0
49,"Sep 25, 2015",0.820031,0.825665,0.712745,0.736223,903457.0,54085580.0
50,"Sep 26, 2015",0.73763,0.787544,0.709328,0.785964,369620.0,57759116.0
51,"Sep 27, 2015",0.791277,0.791277,0.719169,0.720839,413801.0,52990396.0
52,"Sep 28, 2015",0.723715,0.725677,0.557062,0.582886,1320890.0,42863010.0
53,"Sep 29, 2015",0.579414,0.67583,0.558346,0.661146,913992.0,48633260.0
54,"Sep 30, 2015",0.661192,0.746722,0.635861,0.738644,619926.0,54351468.0
55,"Oct 01, 2015",0.734307,0.734307,0.655906,0.690215,596084.0,50805920.0
56,"Oct 02, 2015",0.683732,0.69112,0.654605,0.678574,219318.0,49966504.0
57,"Oct 03, 2015",0.678783,0.709204,0.675482,0.687171,163326.0,50616972.0
58,"Oct 04, 2015",0.686343,0.693126,0.660716,0.668379,103497.0,49249084.0
59,"Oct 05, 2015",0.666784,0.674438,0.62445,0.628643,234263.0,46336892.0
60,"Oct 06, 2015",0.622218,0.653944,0.60623,0.650645,262674.0,47974296.0
61,"Oct 07, 2015",0.650515,0.656301,0.602423,0.609388,218327.0,44947530.0
62,"Oct 08, 2015",0.609501,0.633138,0.591971,0.621716,310266.0,45872836.0
63,"Oct 09, 2015",0.655084,0.692296,0.632116,0.650628,386420.0,48022036.0
64,"Oct 10, 2015",0.641187,0.649022,0.624374,0.627857,141555.0,46356710.0
65,"Oct 11, 2015",0.627461,0.639506,0.618335,0.634963,102128.0,46897252.0
66,"Oct 12, 2015",0.634515,0.657789,0.62603,0.62603,109567.0,46253824.0
67,"Oct 13, 2015",0.627943,0.63024,0.599214,0.607655,303044.0,44911720.0
68,"Oct 14, 2015",0.61224,0.61224,0.483974,0.522968,971664.0,38665410.0
69,"Oct 15, 2015",0.523278,0.572714,0.51473,0.561878,371022.0,41556024.0
70,"Oct 16, 2015",0.562593,0.568861,0.522533,0.536495,249891.0,39691828.0
71,"Oct 17, 2015",0.534117,0.56346,0.526961,0.547178,313860.0,40496030.0
72,"Oct 18, 2015",0.547913,0.552234,0.512861,0.517734,133690.0,38329704.0
73,"Oct 19, 2015",0.517621,0.521546,0.480994,0.489014,243742.0,36215624.0
74,"Oct 20, 2015",0.489629,0.501898,0.431648,0.434829,383921.0,32213626.0
75,"Oct 21, 2015",0.431589,0.482988,0.420897,0.447329,609085.0,33150826.0
76,"Oct 22, 2015",0.444988,0.619466,0.420991,0.567702,924822.0,42085190.0
77,"Oct 23, 2015",0.56637,0.611743,0.504284,0.539657,878822.0,40020348.0
78,"Oct 24, 2015",0.539681,0.577396,0.518688,0.56359,258356.0,41809764.0
79,"Oct 25, 2015",0.563207,0.688192,0.561383,0.616039,635384.0,45716388.0
80,"Oct 26, 2015",0.619743,0.757517,0.597098,0.731317,1089120.0,54289124.0
81,"Oct 27, 2015",0.70889,0.898172,0.70889,0.869641,1846370.0,64580264.0
82,"Oct 28, 2015",0.870938,1.06,0.807857,1.0,2373050.0,74469864.0
83,"Oct 29, 2015",1.01,1.21,0.947374,1.21,2279240.0,89668664.0
84,"Oct 30, 2015",1.21,1.35,0.96816,1.04,2429200.0,77401816.0
85,"Oct 31, 2015",1.05,1.06,0.900171,0.916627,673892.0,68163370.0
86,"Nov 01, 2015",0.920847,1.08,0.899082,1.06,588913.0,78530264.0
87,"Nov 02, 2015",1.06,1.1,0.953647,0.989789,1145200.0,73654330.0
88,"Nov 03, 2015",0.994568,1.07,0.936615,1.01,1907690.0,75434110.0
89,"Nov 04, 2015",1.01,1.04,0.725665,0.89905,3060340.0,66947930.0
90,"Nov 05, 2015",0.900699,0.991259,0.860382,0.895637,1179840.0,66716644.0
91,"Nov 06, 2015",0.904772,0.989848,0.852929,0.926032,913666.0,69004590.0
92,"Nov 07, 2015",0.923732,0.943787,0.863539,0.927974,890187.0,69172170.0
93,"Nov 08, 2015",0.915661,1.03,0.915661,1.03,1021460.0,76614490.0
94,"Nov 09, 2015",1.03,1.11,0.945263,0.999278,2045290.0,74537420.0
95,"Nov 10, 2015",1.0,1.05,0.920968,0.934348,854581.0,69717800.0
96,"Nov 11, 2015",0.941296,0.945278,0.729775,0.791829,1278580.0,59103444.0
97,"Nov 12, 2015",0.796455,0.913919,0.76351,0.895711,806156.0,66880150.0
98,"Nov 13, 2015",0.907722,0.917309,0.846023,0.904096,543671.0,67529350.0
99,"Nov 14, 2015",0.905469,0.906113,0.876908,0.888812,372514.0,66410520.0
100,"Nov 15, 2015",0.891217,0.921516,0.874957,0.906368,411848.0,67745800.0
101,"Nov 16, 2015",0.906166,0.944732,0.891971,0.928962,620945.0,69458010.0
102,"Nov 17, 2015",0.924948,1.03,0.905794,1.01,1145440.0,75392160.0
103,"Nov 18, 2015",0.993214,1.01,0.940516,0.993319,681104.0,74320770.0
104,"Nov 19, 2015",0.988713,1.01,0.937498,0.955532,443528.0,71517340.0
105,"Nov 20, 2015",0.955735,0.955735,0.898576,0.92492,614335.0,69248000.0
106,"Nov 21, 2015",0.928758,0.978743,0.92094,0.97614,455976.0,73107360.0
107,"Nov 22, 2015",0.979765,0.984132,0.958982,0.968018,372173.0,72523500.0
108,"Nov 23, 2015",0.967493,0.969057,0.93387,0.946969,441875.0,70970610.0
109,"Nov 24, 2015",0.946442,0.948055,0.895931,0.900191,524195.0,67487360.0
110,"Nov 25, 2015",0.893827,0.899493,0.851106,0.863537,622991.0,64760708.0
111,"Nov 26, 2015",0.863273,0.903643,0.80436,0.884183,947473.0,66330892.0
112,"Nov 27, 2015",0.8821,0.900051,0.860695,0.867951,403813.0,65135636.0
113,"Nov 28, 2015",0.868102,0.929293,0.862122,0.915703,462464.0,68742120.0
114,"Nov 29, 2015",0.914144,0.914153,0.860533,0.878614,448358.0,65980040.0
115,"Nov 30, 2015",0.879951,0.895054,0.847696,0.873119,784439.0,65589556.0
116,"Dec 01, 2015",0.878316,0.886736,0.853937,0.8748,652857.0,65738068.0
117,"Dec 02, 2015",0.873171,0.878017,0.818924,0.82121,506307.0,61730776.0
118,"Dec 03, 2015",0.818546,0.837664,0.785086,0.812143,539969.0,61070308.0
119,"Dec 04, 2015",0.812082,0.859575,0.802373,0.840041,241278.0,63189184.0
120,"Dec 05, 2015",0.841195,0.872821,0.824444,0.862438,232743.0,64895496.0
121,"Dec 06, 2015",0.866417,0.882436,0.833115,0.8355,443608.0,62889050.0
122,"Dec 07, 2015",0.836322,0.850791,0.78765,0.811264,520409.0,61084950.0
123,"Dec 08, 2015",0.806024,0.823645,0.782328,0.822118,445903.0,61922410.0
124,"Dec 09, 2015",0.824454,0.824454,0.770488,0.792167,624221.0,59687096.0
125,"Dec 10, 2015",0.79559,0.86159,0.787291,0.840396,369589.0,63342630.0
126,"Dec 11, 2015",0.839995,0.929762,0.819789,0.929762,801072.0,70101840.0
127,"Dec 12, 2015",0.931196,1.05,0.928546,0.976973,1376280.0,73686290.0
128,"Dec 13, 2015",0.971538,0.989394,0.937438,0.952884,273614.0,71894530.0
129,"Dec 14, 2015",0.95662,1.01,0.950178,0.993022,563436.0,74947760.0
130,"Dec 15, 2015",0.990589,1.03,0.98224,1.01,578618.0,76568080.0
131,"Dec 16, 2015",1.02,1.02,0.974927,0.991182,320767.0,74858730.0
132,"Dec 17, 2015",0.993043,0.997611,0.911807,0.940701,640765.0,71069940.0
133,"Dec 18, 2015",0.938327,0.939493,0.908081,0.920127,300787.0,69538664.0
134,"Dec 19, 2015",0.921524,0.925874,0.888916,0.908072,343535.0,68650440.0
135,"Dec 20, 2015",0.90824,0.943185,0.899441,0.903885,472164.0,68356310.0
136,"Dec 21, 2015",0.906065,0.91739,0.891182,0.900771,549113.0,68143250.0
137,"Dec 22, 2015",0.894973,0.909526,0.862059,0.864202,454249.0,65398932.0
138,"Dec 23, 2015",0.861782,0.88294,0.856065,0.858077,334993.0,64957356.0
139,"Dec 24, 2015",0.859433,0.882818,0.8476,0.863262,354646.0,65371536.0
140,"Dec 25, 2015",0.861993,0.882556,0.861993,0.870363,187114.0,65931376.0
141,"Dec 26, 2015",0.870766,0.897453,0.838314,0.854603,425282.0,64758910.0
142,"Dec 27, 2015",0.853166,0.861538,0.841151,0.856365,164565.0,64913920.0
143,"Dec 28, 2015",0.856356,0.872394,0.832932,0.845005,235134.0,64074280.0
144,"Dec 29, 2015",0.843835,0.873054,0.833232,0.873054,215742.0,66222900.0
145,"Dec 30, 2015",0.874258,0.941099,0.866647,0.911958,604078.0,69196770.0
146,"Dec 31, 2015",0.912098,0.975414,0.910277,0.933542,663994.0,70858024.0
147,"Jan 01, 2016",0.933712,0.954822,0.931442,0.948024,206062.0,71980380.0
148,"Jan 02, 2016",0.947401,0.969637,0.93656,0.937124,255504.0,71176660.0
149,"Jan 03, 2016",0.93843,0.991362,0.934313,0.971905,407632.0,73843300.0
150,"Jan 04, 2016",0.972045,0.976438,0.929835,0.95448,346245.0,72543704.0
151,"Jan 05, 2016",0.953147,0.970597,0.946543,0.950176,219833.0,72240980.0
152,"Jan 06, 2016",0.950028,0.960659,0.935708,0.95086,308791.0,72317150.0
153,"Jan 07, 2016",0.955801,0.974623,0.93583,0.942005,647462.0,71667150.0
154,"Jan 08, 2016",0.942752,0.991825,0.939715,0.986789,545600.0,75099810.0
155,"Jan 09, 2016",0.985501,0.992345,0.9736,0.986833,226281.0,75128310.0
156,"Jan 10, 2016",0.985557,1.0,0.975099,0.999231,390888.0,76097650.0
157,"Jan 11, 2016",0.999216,1.07,0.999216,1.06,1011920.0,80874510.0
158,"Jan 12, 2016",1.07,1.28,1.05,1.14,2898760.0,86951450.0
159,"Jan 13, 2016",1.14,1.15,1.08,1.13,1005910.0,85775570.0
160,"Jan 14, 2016",1.12,1.19,1.1,1.19,751961.0,90714400.0
161,"Jan 15, 2016",1.18,1.32,1.14,1.21,3910550.0,92149710.0
162,"Jan 16, 2016",1.22,1.31,1.17,1.22,2462630.0,93117300.0
163,"Jan 17, 2016",1.22,1.33,1.21,1.33,1171150.0,101329330.0
164,"Jan 18, 2016",1.33,1.54,1.32,1.43,4278930.0,108912540.0
165,"Jan 19, 2016",1.42,1.46,1.31,1.37,2446740.0,104750744.0
166,"Jan 20, 2016",1.36,1.62,1.35,1.53,2933220.0,117043470.0
167,"Jan 21, 2016",1.53,1.59,1.49,1.55,1614960.0,118743870.0
168,"Jan 22, 2016",1.55,1.58,1.47,1.5,1567240.0,114784060.0
169,"Jan 23, 2016",1.5,2.03,1.5,1.97,7370980.0,150874910.0
