,Date,Open,High,Low,Close,Volume,Market Cap
0,"Apr 28, 2013",4.3,4.4,4.18,4.35,0.0,74636936.0
1,"Apr 29, 2013",4.37,4.57,4.23,4.38,0.0,75388960.0
2,"Apr 30, 2013",4.4,4.57,4.17,4.3,0.0,74020920.0
3,"May 01, 2013",4.29,4.36,3.52,3.8,0.0,65604596.0
4,"May 02, 2013",3.78,4.04,3.01,3.37,0.0,58287980.0
5,"May 03, 2013",3.39,3.45,2.4,3.04,0.0,52694850.0
6,"May 04, 2013",3.03,3.64,2.9,3.48,0.0,60290868.0
7,"May 05, 2013",3.49,3.69,3.35,3.59,0.0,62298184.0
8,"May 06, 2013",3.59,3.78,3.12,3.37,0.0,58594360.0
9,"May 07, 2013",3.37,3.41,2.94,3.33,0.0,58051264.0
10,"May 08, 2013",3.28,3.49,3.28,3.41,0.0,59508216.0
11,"May 09, 2013",3.4,3.44,3.29,3.42,0.0,59755570.0
12,"May 10, 2013",3.41,3.63,3.37,3.44,0.0,60358930.0
13,"May 11, 2013",3.46,3.48,3.3,3.35,0.0,58809510.0
14,"May 12, 2013",3.36,3.42,3.22,3.27,0.0,57513320.0
15,"May 13, 2013",3.26,3.37,3.2,3.28,0.0,57790880.0
16,"May 14, 2013",3.28,3.33,2.78,2.82,0.0,49847570.0
17,"May 15, 2013",2.82,3.04,2.64,2.94,0.0,51891652.0
18,"May 16, 2013",2.93,2.97,2.69,2.92,0.0,51685880.0
19,"May 17, 2013",2.89,3.34,2.87,3.19,0.0,56498070.0
20,"May 18, 2013",3.2,3.36,3.13,3.29,0.0,58518790.0
21,"May 19, 2013",3.3,3.41,3.19,3.3,0.0,58760676.0
22,"May 20, 2013",3.31,3.32,3.15,3.18,0.0,56682748.0
23,"May 21, 2013",3.19,3.22,3.04,3.09,0.0,55073030.0
24,"May 22, 2013",3.09,3.14,3.03,3.12,0.0,55766900.0
25,"May 23, 2013",3.12,3.19,3.09,3.18,0.0,56949220.0
26,"May 24, 2013",3.17,3.19,3.04,3.18,0.0,57017468.0
27,"May 25, 2013",3.19,3.2,3.05,3.12,0.0,56026344.0
28,"May 26, 2013",3.12,3.33,3.09,3.25,0.0,58457960.0
29,"May 27, 2013",3.23,3.26,3.02,3.1,0.0,55882132.0
30,"May 28, 2013",3.1,3.13,3.02,3.09,0.0,55813732.0
31,"May 29, 2013",3.09,3.12,3.02,3.1,0.0,55971820.0
32,"May 30, 2013",3.08,3.09,2.88,2.97,0.0,53812628.0
33,"May 31, 2013",2.97,2.99,2.69,2.96,0.0,53635812.0
34,"Jun 01, 2013",2.94,2.97,2.8,2.83,0.0,51354548.0
35,"Jun 02, 2013",2.83,2.86,2.56,2.73,0.0,49625824.0
36,"Jun 03, 2013",2.73,2.75,2.61,2.73,0.0,49674160.0
37,"Jun 04, 2013",2.7,2.9,2.7,2.87,0.0,52324428.0
38,"Jun 05, 2013",2.87,2.99,2.81,2.86,0.0,52331670.0
39,"Jun 06, 2013",2.88,2.91,2.74,2.75,0.0,50432630.0
40,"Jun 07, 2013",2.78,2.79,2.51,2.6,0.0,47740052.0
41,"Jun 08, 2013",2.6,2.66,2.54,2.56,0.0,47088868.0
42,"Jun 09, 2013",2.55,2.59,2.07,2.38,0.0,43858290.0
43,"Jun 10, 2013",2.38,2.58,2.26,2.49,0.0,45853396.0
44,"Jun 11, 2013",2.49,2.5,2.18,2.4,0.0,44270316.0
45,"Jun 12, 2013",2.41,2.45,2.31,2.38,0.0,44101290.0
46,"Jun 13, 2013",2.4,2.49,2.23,2.27,0.0,42056096.0
47,"Jun 14, 2013",2.27,2.29,2.09,2.13,0.0,39610212.0
